Region,Latitude,Longitude
NCR,14.6090537,121.0222565
Region I,16.0832144,120.6199895
Region II,16.9753758,121.8107079
Region III,15.4827722,120.7120023
Region IV-A,14.1007803,121.0793705
Region IV-B,9.8432065,118.7364783
Region V,13.4209885,123.4136736
Region VI,11.0049836,122.5372741
Region VII,9.816875,124.0641419
Region VIII,12.2445533,125.0388164
Region IX,8.154077,123.258793
Region X ,8.0201635,124.6856509
Region XI,7.3041622,126.0893406
Region XII,6.2706918,124.6856509
Region XIII,8.8014562,125.7406882
CAR,17.3512542,121.1718851
BARMM,6.9568313,124.2421597
